Frequency (Hz)	Level (dB)
195.144653	-85.693619
195.817566	-85.673271
196.490479	-85.653610
197.163391	-85.638000
197.836304	-85.624886
198.509216	-85.614334
199.182129	-85.606354
199.855042	-85.597893
200.527954	-85.588982
201.200867	-85.582825
201.873779	-85.579681
202.546692	-85.579865
203.219604	-85.582611
203.892517	-85.588600
204.565430	-85.594894
205.238342	-85.601158
205.911255	-85.609161
206.584167	-85.617096
207.257080	-85.629089
207.929993	-85.642044
208.602905	-85.653938
209.275818	-85.665260
209.948730	-85.677460
210.621643	-85.698715
211.294556	-85.724792
211.967468	-85.746971
212.640381	-85.767845
213.313293	-85.790977
213.986206	-85.817184
214.659119	-85.842972
215.332031	-85.870361
216.004944	-85.898354
216.677856	-85.932373
217.350769	-85.966026
218.023682	-85.995560
218.696594	-86.025658
219.369507	-86.063538
220.042419	-86.103729
220.715332	-86.141426
221.388245	-86.175270
222.061157	-86.208351
222.734070	-86.247543
223.406982	-86.287712
224.079895	-86.325851
224.752808	-86.364441
225.425720	-86.406067
226.098633	-86.449562
226.771545	-86.490280
227.444458	-86.527740
228.117371	-86.571686
228.790283	-86.623810
229.463196	-86.662071
230.136108	-86.698166
230.809021	-86.740883
231.481934	-86.788757
232.154846	-86.833824
232.827759	-86.875046
233.500671	-86.910362
234.173584	-86.948471
234.846497	-86.988243
235.519409	-87.029015
236.192322	-87.076355
236.865234	-87.113998
237.538147	-87.151222
238.211060	-87.181419
238.883972	-87.212456
239.556885	-87.250656
240.229797	-87.281723
240.902710	-87.315506
241.575623	-87.339485
242.248535	-87.369682
242.921448	-87.393593
243.594360	-87.422539
244.267273	-87.440582
244.940186	-87.460388
245.613098	-87.488998
246.286011	-87.504837
246.958923	-87.517258
247.631836	-87.529861
248.304749	-87.532959
248.977661	-87.547256
249.650574	-87.565369
250.323486	-87.571350
250.996399	-87.562889
251.669312	-87.558182
252.342224	-87.564102
253.015137	-87.563019
253.688049	-87.555756
254.360962	-87.549614
255.033875	-87.532944
255.706787	-87.518616
256.379700	-87.500343
257.052612	-87.489868
257.725525	-87.470299
258.398438	-87.443329
259.071350	-87.418335
259.744263	-87.390839
