Frequency (Hz)	Level (dB)
10077.539062	-29.946951
10120.605469	-30.832304
10163.671875	-29.840303
10206.738281	-31.004099
10249.804688	-29.805557
10292.871094	-31.096691
10335.937500	-29.823538
10379.003906	-31.132814
10422.070312	-29.872837
10465.136719	-31.139761
10508.203125	-29.934374
10551.269531	-31.140707
10594.335938	-29.993397
10637.402344	-31.152058
10680.468750	-30.039751
10723.535156	-31.183764
10766.601562	-30.067654
10809.667969	-31.240557
10852.734375	-30.075506
10895.800781	-31.322453
10938.867188	-30.066023
10981.933594	-31.424061
11025.000000	-30.046659
11068.066406	-31.532764
11111.132812	-30.030273
11154.199219	-31.626354
11197.265625	-30.035400
11240.332031	-31.672573
11283.398438	-30.085806
11326.464844	-31.634151
11369.531250	-30.208410
11412.597656	-31.482309
11455.664062	-30.428669
11498.730469	-31.215624
11541.796875	-30.760983
11584.863281	-30.872435
11627.929688	-31.190542
11670.996094	-30.526808
11714.062500	-31.644442
11757.128906	-30.271063
11800.195312	-31.969395
11843.261719	-30.196632
11886.328125	-31.979149
11929.394531	-30.376825
11972.460938	-31.611317
12015.527344	-30.840084
12058.593750	-31.028641
12101.660156	-31.508890
12144.726562	-30.508755
12187.792969	-32.101738
12230.859375	-30.292097
12273.925781	-32.181362
12316.992188	-30.524212
12360.058594	-31.621393
12403.125000	-31.209503
12446.191406	-30.852102
12489.257812	-32.059902
12532.324219	-30.395525
12575.390625	-32.381618
12618.457031	-30.553593
12661.523438	-31.774008
12704.589844	-31.351189
12747.656250	-30.862125
12790.722656	-32.314915
12833.789062	-30.438725
12876.855469	-32.405426
12919.921875	-30.865276
12962.988281	-31.456966
13006.054688	-31.961609
13049.121094	-30.604666
13092.187500	-32.644070
13135.253906	-30.671728
13178.320312	-31.901245
13221.386719	-31.725061
13264.453125	-30.801157
13307.519531	-32.721291
13350.585938	-30.646866
13393.652344	-32.124256
13436.718750	-31.701797
13479.785156	-30.892876
13522.851562	-32.811100
13565.917969	-30.712402
13608.984375	-32.130463
13652.050781	-31.902018
13695.117188	-30.850492
13738.183594	-32.922546
13781.250000	-30.887569
13824.316406	-31.907593
13867.382812	-32.321800
13910.449219	-30.743690
13953.515625	-32.904675
13996.582031	-31.282249
14039.648438	-31.467705
14082.714844	-32.858398
14125.781250	-30.761312
14168.847656	-32.521637
14211.914062	-32.012928
14254.980469	-30.976658
14298.046875	-33.130295
14341.113281	-31.196064
14384.179688	-31.731890
14427.246094	-32.921772
14470.312500	-30.835411
14513.378906	-32.617508
14556.445312	-32.227833
14599.511719	-30.981878
14642.578125	-33.196171
14685.644531	-31.528435
14728.710938	-31.501461
14771.777344	-33.263145
14814.843750	-31.077633
14857.910156	-32.183464
14900.976562	-32.930351
14944.042969	-30.930624
14987.109375	-32.816452
15030.175781	-32.434406
15073.242188	-31.040497
15116.308594	-33.257851
15159.375000	-31.956833
15202.441406	-31.321640
15245.507812	-33.469559
15288.574219	-31.584881
15331.640625	-31.685038
15374.707031	-33.495838
15417.773438	-31.338135
15460.839844	-32.057755
15503.906250	-33.412464
15546.972656	-31.200703
15590.039062	-32.391327
15633.105469	-33.288399
15676.171875	-31.143417
15719.238281	-32.661526
15762.304688	-33.171974
15805.371094	-31.136299
15848.437500	-32.861786
15891.503906	-33.091812
15934.570312	-31.154879
15977.636719	-32.994858
16020.703125	-33.062614
16063.769531	-31.182741
16106.835938	-33.065449
16149.902344	-33.090454
16192.968750	-31.212257
16236.035156	-33.075882
16279.101562	-33.176048
16322.167969	-31.244698
16365.234375	-33.024506
16408.300781	-33.315170
16451.367188	-31.289864
16494.433594	-32.907066
16537.500000	-33.497051
16580.566406	-31.365622
16623.632812	-32.720490
16666.699219	-33.700706
16709.765625	-31.496498
16752.832031	-32.468872
16795.898438	-33.890930
16838.964844	-31.710543
16882.031250	-32.170502
16925.097656	-34.016380
16968.164062	-32.033009
17011.230469	-31.863230
17054.296875	-34.013916
17097.363281	-32.475147
17140.429688	-31.605560
17183.496094	-33.824951
17226.562500	-33.017063
17269.628906	-31.471418
17312.695312	-33.425377
17355.761719	-33.586998
17398.828125	-31.538208
17441.894531	-32.859226
17484.960938	-34.049160
17528.027344	-31.866724
17571.093750	-32.248688
17614.160156	-34.224548
17657.226562	-32.468662
17700.292969	-31.766169
17743.359375	-33.972038
17786.425781	-33.258423
17829.492188	-31.585627
17872.558594	-33.315033
17915.625000	-34.006016
17958.691406	-31.833725
18001.757812	-32.493565
18044.824219	-34.357090
18087.890625	-32.530415
18130.957031	-31.853392
18174.023438	-34.032444
18217.089844	-33.503036
18260.156250	-31.694126
18303.222656	-33.151791
18346.289062	-34.311996
18389.355469	-32.168457
18432.421875	-32.219563
18475.488281	-34.371368
18518.554688	-33.176155
18561.621094	-31.760447
18604.687500	-33.538326
18647.753906	-34.236492
18690.820312	-32.080971
18733.886719	-32.438835
18776.953125	-34.514404
18820.019531	-33.125912
18863.085938	-31.838003
18906.152344	-33.642612
18949.218750	-34.317345
18992.285156	-32.172604
19035.351562	-32.439087
19078.417969	-34.553791
19121.484375	-33.350693
19164.550781	-31.886120
19207.617188	-33.470562
19250.683594	-34.560711
19293.750000	-32.451946
19336.816406	-32.257866
19379.882812	-34.406902
19422.949219	-33.844486
19466.015625	-32.004658
19509.082031	-33.032810
19552.148438	-34.790661
19595.214844	-33.009941
19638.281250	-32.048969
19681.347656	-33.902435
19724.414062	-34.522388
19767.480469	-32.423950
19810.546875	-32.605225
19853.613281	-36.082695
19896.679688	-42.296253
19939.746094	-50.109276
19982.812500	-58.514545
20025.878906	-66.701965
20068.945312	-74.105637
20112.011719	-80.470909
20155.078125	-85.812210
20198.144531	-90.290657
20241.210938	-94.081078
20284.277344	-97.353508
20327.343750	-100.206421
20370.410156	-102.696175
20413.476562	-104.943733
20456.542969	-107.073212
20499.609375	-108.756294
20542.675781	-110.489899
20585.742188	-112.008102
20628.808594	-113.379875
20671.875000	-114.520950
20714.941406	-115.838730
20758.007812	-116.486923
20801.074219	-117.536469
20844.140625	-118.450516
20887.207031	-119.020775
20930.273438	-119.625519
20973.339844	-120.342560
21016.406250	-120.724396
21059.472656	-120.923859
21102.539062	-121.352966
21145.605469	-121.587502
21188.671875	-122.016953
21231.738281	-122.245377
21274.804688	-122.060173
21317.871094	-122.332237
21360.937500	-122.558968
21404.003906	-122.674782
21447.070312	-122.708405
21490.136719	-122.680084
21533.203125	-122.764328
21576.269531	-122.590141
21619.335938	-122.892570
21662.402344	-123.334953
21705.468750	-123.203926
21748.535156	-122.993301
21791.601562	-122.722313
21834.667969	-122.961197
21877.734375	-123.326897
21920.800781	-123.305923
21963.867188	-123.217682
22006.933594	-123.144920
