Frequency (Hz)	Level (dB)
11541.796875	-44.457943
11584.863281	-44.710888
11627.929688	-44.708557
11670.996094	-44.528519
11714.062500	-44.505302
11757.128906	-44.642696
11800.195312	-44.661629
11843.261719	-44.821011
11886.328125	-44.840759
11929.394531	-45.035358
11972.460938	-44.645718
12015.527344	-44.452744
12058.593750	-44.638103
12101.660156	-44.879322
12144.726562	-44.620224
12187.792969	-44.709377
12230.859375	-44.829277
12273.925781	-44.807354
12316.992188	-44.829979
12360.058594	-45.000771
12403.125000	-44.978252
12446.191406	-44.735382
12489.257812	-44.686848
12532.324219	-44.578575
12575.390625	-44.667053
12618.457031	-44.743954
12661.523438	-44.911652
12704.589844	-44.765171
12747.656250	-44.767254
12790.722656	-44.720512
12833.789062	-45.040016
12876.855469	-44.859798
12919.921875	-44.941929
12962.988281	-45.015675
13006.054688	-45.070129
13049.121094	-45.157684
13092.187500	-45.168030
13135.253906	-45.237461
13178.320312	-45.002144
13221.386719	-45.005474
13264.453125	-45.136616
13307.519531	-45.237446
13350.585938	-45.169189
13393.652344	-45.117756
13436.718750	-45.003323
13479.785156	-45.116062
13522.851562	-45.202198
13565.917969	-45.139790
13608.984375	-45.000713
13652.050781	-45.081028
13695.117188	-45.071281
13738.183594	-45.202679
13781.250000	-45.299740
13824.316406	-45.266270
13867.382812	-45.022114
13910.449219	-45.002655
13953.515625	-45.094093
13996.582031	-45.161903
14039.648438	-45.185760
14082.714844	-45.185600
14125.781250	-45.186432
14168.847656	-45.280865
14211.914062	-45.378616
14254.980469	-44.796646
14298.046875	-45.085400
14341.113281	-45.331760
14384.179688	-45.211761
14427.246094	-45.002010
14470.312500	-45.124878
14513.378906	-45.325558
14556.445312	-45.184681
14599.511719	-45.235981
14642.578125	-45.299686
14685.644531	-45.202690
14728.710938	-45.361984
14771.777344	-45.681396
14814.843750	-45.427849
14857.910156	-45.333981
14900.976562	-45.253750
14944.042969	-45.272541
14987.109375	-45.151649
15030.175781	-45.178356
15073.242188	-44.998161
15116.308594	-45.000946
15159.375000	-45.214512
15202.441406	-45.416607
15245.507812	-45.329651
15288.574219	-45.553196
15331.640625	-45.416260
15374.707031	-45.364334
15417.773438	-45.593197
15460.839844	-45.404373
15503.906250	-45.466892
15546.972656	-45.491184
15590.039062	-45.368301
15633.105469	-45.319199
15676.171875	-45.437981
15719.238281	-45.491760
15762.304688	-45.318226
15805.371094	-45.284420
15848.437500	-45.493980
15891.503906	-45.536907
15934.570312	-45.397774
15977.636719	-45.443253
16020.703125	-45.597187
16063.769531	-45.439213
16106.835938	-45.550865
16149.902344	-45.616226
16192.968750	-45.627480
16236.035156	-45.726051
16279.101562	-45.523487
16322.167969	-45.285221
16365.234375	-45.147301
16408.300781	-45.348652
16451.367188	-45.441944
16494.433594	-45.275841
16537.500000	-45.551392
16580.566406	-45.433216
16623.632812	-45.353138
16666.699219	-45.644135
16709.765625	-45.583267
16752.832031	-45.582405
16795.898438	-45.441166
16838.964844	-45.613071
16882.031250	-45.533302
16925.097656	-45.492825
16968.164062	-45.774345
17011.230469	-45.892086
17054.296875	-45.575790
17097.363281	-45.488155
17140.429688	-45.493706
17183.496094	-45.787498
17226.562500	-45.539696
17269.628906	-45.311020
17312.695312	-45.359474
17355.761719	-45.709621
17398.828125	-45.881973
17441.894531	-45.662277
17484.960938	-45.556976
17528.027344	-45.533939
17571.093750	-45.447189
17614.160156	-45.113667
17657.226562	-45.233425
17700.292969	-45.768230
17743.359375	-45.792374
17786.425781	-45.645748
17829.492188	-45.569023
17872.558594	-45.428440
17915.625000	-45.740837
17958.691406	-45.711372
18001.757812	-45.686420
18044.824219	-45.937187
18087.890625	-45.682396
18130.957031	-45.353924
18174.023438	-45.615829
18217.089844	-45.549088
18260.156250	-45.534882
18303.222656	-45.586197
18346.289062	-45.512604
18389.355469	-45.647533
18432.421875	-45.652840
18475.488281	-45.662537
18518.554688	-45.731434
18561.621094	-45.922050
18604.687500	-45.668438
18647.753906	-45.587879
18690.820312	-45.734848
18733.886719	-45.762383
18776.953125	-45.662163
18820.019531	-45.611988
18863.085938	-45.481617
18906.152344	-45.534111
18949.218750	-45.650505
18992.285156	-45.722324
19035.351562	-45.610283
19078.417969	-45.572891
19121.484375	-45.788155
19164.550781	-45.730400
19207.617188	-45.582745
19250.683594	-45.572605
19293.750000	-45.421631
19336.816406	-45.571831
19379.882812	-45.548798
19422.949219	-45.472500
19466.015625	-45.531597
19509.082031	-45.613312
19552.148438	-45.477871
19595.214844	-45.419373
19638.281250	-45.555271
19681.347656	-45.362328
19724.414062	-45.358719
19767.480469	-45.390785
19810.546875	-45.898731
19853.613281	-45.874722
19896.679688	-45.572380
19939.746094	-45.481888
19982.812500	-45.462791
20025.878906	-45.777870
20068.945312	-45.834064
20112.011719	-45.691231
20155.078125	-45.736622
20198.144531	-45.630417
20241.210938	-45.772118
20284.277344	-45.470528
20327.343750	-45.335030
20370.410156	-45.711090
20413.476562	-45.859371
20456.542969	-45.541451
20499.609375	-45.510792
20542.675781	-45.853237
20585.742188	-45.762733
20628.808594	-45.590370
20671.875000	-45.470783
20714.941406	-45.561562
20758.007812	-45.536068
20801.074219	-45.603230
20844.140625	-45.584698
20887.207031	-45.723988
20930.273438	-45.713070
20973.339844	-45.541492
21016.406250	-45.684933
21059.472656	-45.769241
21102.539062	-45.607555
21145.605469	-45.606094
21188.671875	-45.736343
21231.738281	-45.851929
21274.804688	-45.893845
21317.871094	-45.836758
21360.937500	-45.790531
21404.003906	-45.735649
21447.070312	-45.461567
21490.136719	-45.494732
21533.203125	-45.658298
21576.269531	-45.725754
21619.335938	-45.624252
21662.402344	-45.724442
21705.468750	-45.918522
21748.535156	-45.564850
21791.601562	-45.645554
21834.667969	-45.614491
21877.734375	-45.589870
21920.800781	-45.762112
21963.867188	-45.803593
22006.933594	-46.038208
