Frequency (Hz)	Level (dB)
195.144653	-30.153677
195.817566	-30.034479
196.490479	-29.875708
197.163391	-29.918022
197.836304	-30.033213
198.509216	-30.063486
199.182129	-29.969303
199.855042	-30.094639
200.527954	-30.002478
201.200867	-30.011024
201.873779	-29.933250
202.546692	-30.179001
203.219604	-30.199423
203.892517	-29.972561
204.565430	-29.930685
205.238342	-30.117157
205.911255	-30.153101
206.584167	-30.130650
207.257080	-30.088285
207.929993	-30.124903
208.602905	-30.221176
209.275818	-30.148516
209.948730	-30.001835
210.621643	-30.138348
211.294556	-30.288408
211.967468	-30.263948
212.640381	-30.151829
213.313293	-30.316780
213.986206	-30.399937
214.659119	-30.335443
215.332031	-30.320036
216.004944	-30.270288
216.677856	-30.449213
217.350769	-30.534859
218.023682	-30.403681
218.696594	-30.440144
219.369507	-30.647900
220.042419	-30.627489
220.715332	-30.585049
221.388245	-30.682613
222.061157	-30.748053
222.734070	-30.698568
223.406982	-30.894943
224.079895	-30.885164
224.752808	-30.947025
225.425720	-31.067987
226.098633	-30.926868
226.771545	-31.017914
227.444458	-31.195251
228.117371	-31.276369
228.790283	-31.059811
229.463196	-31.266939
230.136108	-31.450029
230.809021	-31.416990
231.481934	-31.438517
232.154846	-31.278090
232.827759	-31.473381
233.500671	-31.770319
234.173584	-31.812284
234.846497	-31.471607
235.519409	-31.776621
236.192322	-31.993473
236.865234	-31.753773
237.538147	-31.982683
238.211060	-32.046524
238.883972	-31.918476
239.556885	-32.066666
240.229797	-32.243118
240.902710	-32.066685
241.575623	-32.391598
242.248535	-32.480030
242.921448	-32.082382
243.594360	-32.511730
244.267273	-32.731251
244.940186	-32.450008
245.613098	-32.316425
246.286011	-32.714497
246.958923	-32.728168
247.631836	-32.937752
248.304749	-33.062557
248.977661	-32.712856
249.650574	-32.809132
250.323486	-33.216862
250.996399	-33.077225
251.669312	-33.123329
252.342224	-33.354649
253.015137	-33.225090
253.688049	-33.105183
254.360962	-33.647255
255.033875	-33.400280
255.706787	-33.400955
256.379700	-33.414520
257.052612	-33.468349
257.725525	-33.508030
258.398438	-33.931301
259.071350	-33.318695
259.744263	-33.396145
260.417175	-34.004383
261.090088	-33.919327
261.763000	-33.492214
262.435913	-33.785210
263.108826	-33.434406
263.781738	-33.825329
264.454651	-33.930344
265.127563	-34.115089
265.800476	-33.498524
266.473389	-33.955482
267.146301	-33.683529
267.819214	-33.969624
268.492126	-34.040565
269.165039	-34.070221
269.837952	-33.412079
270.510864	-33.713375
271.183777	-33.688065
271.856689	-33.981667
272.529602	-33.967640
273.202515	-34.025299
273.875427	-33.378311
274.548340	-34.247475
275.221252	-34.116604
275.894165	-33.881233
276.567078	-33.880863
277.239990	-34.263931
277.912903	-33.579132
278.585815	-34.044033
279.258728	-33.673515
279.931641	-33.862751
280.604553	-33.802258
281.277466	-34.127476
281.950378	-33.530266
282.623291	-34.060226
283.296204	-33.655888
283.969116	-33.606434
284.642029	-33.537617
285.314941	-34.246284
285.987854	-33.517822
286.660767	-33.554768
287.333679	-33.393791
288.006592	-33.752934
288.679504	-33.339848
289.352417	-33.965347
290.025330	-33.099300
290.698242	-33.473492
291.371155	-33.426895
292.044067	-33.604900
292.716980	-33.179443
293.389893	-33.648441
294.062805	-33.093349
294.735718	-33.277008
295.408630	-33.207020
296.081543	-33.350346
296.754456	-33.070480
297.427368	-33.332840
298.100281	-32.795395
298.773193	-33.281143
299.446106	-33.048935
300.119019	-33.106995
300.791931	-32.810337
301.464844	-33.432804
302.137756	-32.895466
302.810669	-33.060356
303.483582	-32.761055
304.156494	-32.960346
304.829407	-32.870506
305.502319	-33.218941
306.175232	-32.746979
306.848145	-32.880619
307.521057	-32.683189
308.193970	-32.928131
308.866882	-32.549633
309.539795	-32.872402
310.212708	-32.603504
310.885620	-32.691177
311.558533	-32.357376
312.231445	-32.720062
312.904358	-32.598179
313.577271	-32.691593
314.250183	-32.410835
314.923096	-32.508514
315.596008	-32.464169
316.268921	-32.719482
316.941833	-32.320007
317.614746	-32.677094
318.287659	-32.577080
318.960571	-32.532333
319.633484	-32.261852
320.306396	-32.436680
320.979309	-32.342808
321.652222	-32.615475
322.325134	-32.283779
322.998047	-32.358276
323.670959	-32.377087
324.343872	-32.359638
325.016785	-32.031643
325.689697	-32.416077
326.362610	-32.410530
327.035522	-32.462315
327.708435	-32.200024
328.381348	-32.261589
329.054260	-32.204063
329.727173	-32.374325
330.400085	-32.344109
331.072998	-32.268948
331.745911	-32.167816
332.418823	-32.442970
333.091736	-32.222927
333.764648	-32.165981
334.437561	-32.264637
335.110474	-32.398052
335.783386	-32.068569
336.456299	-32.198765
337.129211	-32.248234
337.802124	-32.430103
338.475037	-32.291328
339.147949	-32.206070
339.820862	-32.198883
340.493774	-32.345070
341.166687	-32.263783
341.839600	-32.145153
342.512512	-32.280434
343.185425	-32.382339
343.858337	-32.285660
344.531250	-32.223122
345.204163	-32.128139
345.877075	-32.403740
346.549988	-32.381702
347.222900	-32.301426
347.895813	-32.181149
348.568726	-32.356403
349.241638	-32.258598
349.914551	-32.208069
350.587463	-32.396427
351.260376	-32.518272
351.933289	-32.454338
352.606201	-32.293549
353.279114	-32.393028
353.952026	-32.467110
354.624939	-32.517563
355.297852	-32.460876
355.970764	-32.265976
356.643677	-32.589138
357.316589	-32.628201
357.989502	-32.533302
358.662415	-32.430622
359.335327	-32.535892
360.008240	-32.571522
360.681152	-32.569538
361.354065	-32.715775
362.026978	-32.626148
362.699890	-32.738956
363.372803	-32.718437
364.045715	-32.610695
364.718628	-32.650116
365.391541	-32.768909
366.064453	-32.672459
366.737366	-32.568684
367.410278	-32.904762
368.083191	-32.954582
